Customer ID,Customer Type
797,low budget
3,low budget
3,low budget
4,low budget
5,low budget
5,did not pay 
5,low budget
7,low budget
8,low budget
10,low budget
11,low budget
12,low budget
13,low budget
13,low budget
13,low budget
14,low budget
15,low budget
66,low budget
21,low budget
22,low budget
23,low budget
23,low budget
23,low budget
23,low budget
24,low budget
25,low budget
26,did not pay 
27,low budget
27,low budget
27,low budget
27,low budget
27,medium budget
27,medium budget
27,low budget
65,low budget
65,low budget
65,low budget
30,low budget
31,low budget
32,low budget
33,low budget
35,low budget
37,low budget
39,low budget
40,low budget
41,low budget
41,low budget
42,low budget
43,low budget
44,low budget
45,low budget
45,low budget
45,low budget
45,low budget
45,low budget
45,low budget
45,low budget
45,low budget
45,low budget
45,low budget
46,low budget
48,low budget
50,low budget
52,low budget
55,low budget
55,low budget
55,low budget
55,low budget
55,medium budget
55,medium budget
55,medium budget
56,low budget
57,low budget
59,medium budget
60,low budget
61,low budget
62,low budget
63,medium budget
68,low budget
69,low budget
70,low budget
71,low budget
72,low budget
73,low budget
73,low budget
73,low budget
74,low budget
75,low budget
76,low budget
77,low budget
78,low budget
79,low budget
79,low budget
79,low budget
79,low budget
79,low budget
82,low budget
84,did not pay 
85,medium budget
85,medium budget
85,medium budget
100,luxury/high budget
100,luxury/high budget
100,luxury/high budget
101,low budget
101,low budget
102,low budget
103,low budget
104,low budget
104,low budget
104,low budget
104,low budget
104,low budget
105,low budget
106,low budget
217,low budget
112,low budget
113,low budget
114,did not pay 
115,low budget
116,low budget
117,low budget
118,low budget
120,low budget
121,low budget
122,low budget
123,low budget
124,medium budget
125,medium budget
128,low budget
129,low budget
130,low budget
131,low budget
132,low budget
133,low budget
134,low budget
135,medium budget
136,medium budget
137,low budget
137,medium budget
137,medium budget
143,luxury/high budget
143,luxury/high budget
144,low budget
145,low budget
147,low budget
148,low budget
149,low budget
150,low budget
151,medium budget
152,low budget
153,low budget
154,low budget
155,low budget
155,low budget
155,low budget
156,low budget
157,medium budget
159,low budget
160,did not pay 
161,low budget
162,low budget
163,low budget
164,low budget
166,low budget
167,medium budget
168,low budget
169,low budget
170,low budget
171,low budget
172,low budget
173,low budget
173,low budget
174,low budget
175,low budget
176,low budget
177,low budget
179,medium budget
181,low budget
182,low budget
183,low budget
184,medium budget
185,low budget
185,low budget
186,low budget
187,low budget
188,low budget
190,low budget
192,low budget
193,low budget
194,low budget
195,low budget
196,low budget
197,low budget
198,low budget
199,low budget
200,low budget
201,did not pay 
202,low budget
203,luxury/high budget
204,low budget
204,low budget
204,low budget
204,low budget
205,low budget
206,low budget
207,medium budget
208,low budget
209,low budget
210,low budget
212,medium budget
212,medium budget
212,medium budget
213,medium budget
213,medium budget
213,medium budget
213,medium budget
213,medium budget
213,medium budget
213,low budget
213,low budget
213,low budget
214,low budget
215,low budget
216,low budget
222,low budget
218,luxury/high budget
218,luxury/high budget
219,low budget
220,low budget
221,low budget
223,medium budget
224,low budget
225,low budget
226,low budget
228,low budget
234,low budget
229,low budget
229,low budget
230,low budget
231,low budget
232,low budget
233,medium budget
236,low budget
238,low budget
239,low budget
240,low budget
242,low budget
242,low budget
242,low budget
242,low budget
242,low budget
242,medium budget
242,medium budget
242,low budget
242,medium budget
243,medium budget
244,low budget
245,medium budget
246,low budget
247,low budget
247,low budget
247,low budget
247,low budget
248,low budget
249,medium budget
250,low budget
251,medium budget
252,low budget
252,low budget
253,low budget
254,low budget
255,medium budget
256,low budget
257,low budget
258,low budget
260,low budget
260,low budget
261,medium budget
262,low budget
263,low budget
264,medium budget
266,medium budget
267,medium budget
268,low budget
269,medium budget
270,low budget
272,low budget
273,low budget
274,low budget
275,medium budget
276,low budget
276,low budget
277,low budget
279,low budget
281,low budget
282,low budget
283,low budget
284,low budget
286,medium budget
287,low budget
287,low budget
288,low budget
289,medium budget
290,low budget
291,medium budget
292,luxury/high budget
293,medium budget
294,low budget
294,low budget
294,low budget
294,low budget
295,medium budget
296,low budget
296,low budget
296,low budget
297,low budget
298,low budget
298,low budget
299,medium budget
300,low budget
301,low budget
302,medium budget
303,medium budget
304,medium budget
304,medium budget
304,medium budget
304,low budget
304,low budget
304,low budget
304,low budget
304,low budget
304,medium budget
304,medium budget
304,medium budget
304,low budget
305,luxury/high budget
306,low budget
306,low budget
306,low budget
306,low budget
306,low budget
306,low budget
306,low budget
307,medium budget
307,medium budget
308,medium budget
309,low budget
310,low budget
311,low budget
312,low budget
312,low budget
312,low budget
313,low budget
314,low budget
315,medium budget
316,medium budget
317,low budget
319,medium budget
321,low budget
323,low budget
324,low budget
325,low budget
326,medium budget
328,low budget
329,low budget
330,low budget
330,low budget
331,low budget
332,medium budget
333,medium budget
333,low budget
333,low budget
333,medium budget
333,medium budget
333,low budget
334,low budget
337,low budget
338,low budget
339,low budget
340,low budget
342,low budget
343,low budget
344,low budget
345,medium budget
345,medium budget
345,low budget
346,low budget
347,medium budget
348,low budget
349,medium budget
350,medium budget
351,medium budget
353,low budget
355,medium budget
356,medium budget
357,medium budget
358,low budget
359,low budget
360,low budget
361,low budget
362,low budget
363,low budget
364,low budget
365,low budget
366,medium budget
367,low budget
367,low budget
368,low budget
369,low budget
370,low budget
371,low budget
372,low budget
372,low budget
372,low budget
373,medium budget
373,low budget
374,low budget
375,low budget
376,low budget
377,low budget
378,low budget
379,low budget
379,low budget
382,low budget
383,low budget
384,low budget
385,low budget
386,low budget
387,low budget
388,low budget
390,low budget
391,low budget
392,low budget
393,low budget
394,medium budget
396,low budget
396,low budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
396,low budget
396,low budget
396,low budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
396,medium budget
397,low budget
398,low budget
398,low budget
399,low budget
400,low budget
401,low budget
402,low budget
403,medium budget
403,low budget
403,low budget
403,low budget
403,low budget
403,low budget
403,low budget
403,medium budget
403,medium budget
403,did not pay 
403,did not pay 
403,low budget
403,did not pay 
403,did not pay 
403,low budget
404,low budget
405,low budget
406,low budget
407,low budget
408,medium budget
409,medium budget
411,medium budget
412,low budget
412,low budget
412,medium budget
412,low budget
412,low budget
412,low budget
412,low budget
412,low budget
412,medium budget
413,low budget
414,low budget
415,medium budget
416,low budget
417,low budget
417,low budget
418,medium budget
418,medium budget
419,low budget
419,medium budget
420,low budget
421,medium budget
422,low budget
426,low budget
427,low budget
